----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-19T11:17:12.017+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.037+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.037+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.037+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.037+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
2023-06-19T11:17:12.037+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Resize to 416 x 416
2023-06-19T11:17:12.180+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.198+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.198+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.198+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.198+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
2023-06-19T11:17:12.198+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Resize to 416 x 416
2023-06-19T11:17:12.322+09:00 axis-b8a44f27a336 [ ERR     ] snow_depth[1113]: Last message 'Unable to rewind out' repeated 3 times, suppressed by syslog-ng on axis-b8a44f27a336
2023-06-19T11:17:12.341+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ ERR     ] snow_depth[11185]: Unable to rewind output file position: Illegal seek 10
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
2023-06-19T11:17:12.360+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Resize to 416 x 416
2023-06-19T11:17:12.505+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.524+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.524+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.524+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.524+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
