----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-18T17:52:26.257+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Running OpenCV example with VDO as video source
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:574 value: 255
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:575 value: 255
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:576 value: 221
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:577 value: 188
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:578 value: 188
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:579 value: 188
2023-06-18T17:52:29.217+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:580 value: 221
2023-06-18T17:52:29.236+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:572 value: 255
2023-06-18T17:52:29.258+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:571 value: 255
2023-06-18T17:52:29.260+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:570 value: 255
2023-06-18T17:52:29.261+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:569 value: 255
2023-06-18T17:52:29.276+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:568 value: 255
2023-06-18T17:52:29.294+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:564 value: 255
2023-06-18T17:52:29.294+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:565 value: 255
2023-06-18T17:52:29.294+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:566 value: 255
2023-06-18T17:52:29.294+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:567 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:554 value: 255
